Bezirk;Bezirk/Stadtteil
Mitte;Mitte
Mitte;Oberer Schlossgarten
Mitte;Rathaus
Mitte;Neue Vorstadt
Mitte;Universität
Mitte;Europaviertel
Mitte;Hauptbahnhof
Mitte;Kernerviertel
Mitte;Diemershalde
Mitte;Dobel
Mitte;Heusteigviertel
Nord;Nord
Nord;Relenberg
Nord;Lenzhalde
Nord;Am Bismarckturm
Nord;Killesberg
Nord;Weißenhof
Nord;Nordbahnhof
Nord;Am Pragfriedhof
Nord;Am Rosensteinpark
Nord;Auf der Prag
Nord;Mönchhalde
Nord;Heilbronner Straße
Ost;Ost
Ost;Gänsheide
Ost;Uhlandshöhe
Ost;Stöckach
Ost;Berg
Ost;Ostheim
Ost;Gaisburg
Ost;Gablenberg
Ost;Frauenkopf
Süd;Süd
Süd;Bopser
Süd;Lehen
Süd;Weinsteige
Süd;Karlshöhe
Süd;Heslach
Süd;Südheim
Süd;Kaltental
West;West
West;Kräherwald
West;Hölderlinplatz
West;Rosenberg
West;Feuersee
West;Rotebühl
West;Vogelsang
West;Hasenberg
West;Wildpark
West;Solitude
Bad Cannstatt;Bad Cannstatt
Bad Cannstatt;Muckensturm
Bad Cannstatt;Schmidener Vorstadt
Bad Cannstatt;Espan
Bad Cannstatt;Kurpark
Bad Cannstatt;Cannstatt-Mitte
Bad Cannstatt;Seelberg
Bad Cannstatt;Winterhalde
Bad Cannstatt;Wasen
Bad Cannstatt;Veielbrunnen
Bad Cannstatt;Im Geiger
Bad Cannstatt;Neckarvorstadt
Bad Cannstatt;Pragstraße
Bad Cannstatt;Altenburg
Bad Cannstatt;Hallschlag
Bad Cannstatt;Birkenäcker
Bad Cannstatt;Burgholzhof
Bad Cannstatt;Sommerrain
Bad Cannstatt;Steinhaldenfeld
Birkach;Birkach
Birkach;Birkach-Nord
Birkach;Birkach-Süd
Birkach;Schönberg
Botnang;Botnang
Botnang;Botnang-Nord
Botnang;Botnang-Ost
Botnang;Botnang-Süd
Botnang;Botnang-West
Degerloch;Degerloch
Degerloch;Degerloch
Degerloch;Waldau
Degerloch;Tränke
Degerloch;Haigst
Degerloch;Hoffeld
Feuerbach;Feuerbach
Feuerbach;Feuerbach-Ost
Feuerbach;Siegelberg
Feuerbach;Bahnhof Feuerbach
Feuerbach;Feuerbach-Mitte
Feuerbach;Lemberg/Föhrich
Feuerbach;Hohe Warte
Feuerbach;Feuerbacher Tal
Feuerbach;An der Burg
Hedelfingen;Hedelfingen
Hedelfingen;Hedelfingen
Hedelfingen;Hafen
Hedelfingen;Lederberg
Hedelfingen;Rohracker
Möhringen;Möhringen
Möhringen;Möhringen-Nord
Möhringen;Möhringen-Mitte
Möhringen;Wallgraben-Ost
Möhringen;Möhringen-Süd
Möhringen;Möhringen-Ost
Möhringen;Sternhäule
Möhringen;Fasanenhof-Ost
Möhringen;Fasanenhof
Möhringen;Sonnenberg
Mühlhausen;Mühlhausen
Mühlhausen;Mühlhausen
Mühlhausen;Freiberg
Mühlhausen;Mönchfeld
Mühlhausen;Hofen
Mühlhausen;Neugereut
Münster;Münster
Münster;Münster
Obertürkheim;Obertürkheim
Obertürkheim;Obertürkheim
Obertürkheim;Uhlbach
Plieningen;Plieningen
Plieningen;Plieningen
Plieningen;Chausseefeld
Plieningen;Steckfeld
Plieningen;Asemwald
Plieningen;Hohenheim
Sillenbuch;Sillenbuch
Sillenbuch;Sillenbuch
Sillenbuch;Heumaden
Sillenbuch;Riedenberg
Stammheim;Stammheim
Stammheim;Stammheim-Süd
Stammheim;Stammheim-Mitte
Untertürkheim;Untertürkheim
Untertürkheim;Gehrenwald
Untertürkheim;Flohberg
Untertürkheim;Untertürkheim
Untertürkheim;Benzviertel
Untertürkheim;Lindenschulviertel
Untertürkheim;Bruckwiesen
Untertürkheim;Luginsland
Untertürkheim;Rotenberg
Vaihingen;Vaihingen
Vaihingen;Vaihingen-Mitte
Vaihingen;Österfeld
Vaihingen;Höhenrand
Vaihingen;Wallgraben-West
Vaihingen;Rosental
Vaihingen;Heerstraße
Vaihingen;Lauchäcker
Vaihingen;Dachswald
Vaihingen;Pfaffenwald
Vaihingen;Büsnau
Vaihingen;Rohr
Vaihingen;Dürrlewang
Wangen;Wangen
Wangen;Wangen
Weilimdorf;Weilimdorf
Weilimdorf;Weilimdorf
Weilimdorf;Weilimdorf-Nord
Weilimdorf;Bergheim
Weilimdorf;Giebel
Weilimdorf;Hausen
Weilimdorf;Wolfbusch
Zuffenhausen;Zuffenhausen
Zuffenhausen;Zuffenhausen-Am Stadtpark
Zuffenhausen;Zuffenhausen-Schützenbühl
Zuffenhausen;Zuffenhausen-Elbelen
Zuffenhausen;Zuffenhausen-Frauensteg
Zuffenhausen;Zuffenhausen-Mitte
Zuffenhausen;Zuffenhausen-Hohenstein
Zuffenhausen;Zuffenhausen-Mönchsberg
Zuffenhausen;Zuffenhausen-Im Raiser
Zuffenhausen;Neuwirtshaus
Zuffenhausen;Rot
Zuffenhausen;Zazenhausen
